
100000,3.051,1.533,1.428,2.422,1.362,
200000,2.478,2.266,2.619,2.138,2.387,
300000,3.748,3.709,3.964,3.676,3.511,
400000,3.772,3.896,3.695,3.882,3.642,
500000,8.235,4.832,4.802,4.392,
100000,3.028,2.404,1.545,1.377,1.310,
200000,2.386,2.542,2.146,2.168,2.065,
300000,4.136,3.422,3.469,3.477,3.589,
400000,3.446,3.311,3.294,5.000,3.430,
500000,5.303,4.711,4.775,4.654,6.484,
600000,5.341,5.755,5.532,6.066,5.820,
700000,7.771,13.951,9.193,8.245,13.426,
800000,8.689,10.090,9.761,25.974,9.464,
900000,10.372,11.435,25.285,12.368,11.774,
1000000,22.962,25.186,13.401,12.932,34.830,
